ISO3,GDP.PPP.2011USD,GDP.currUSD,GDP.currLCU,Currency.Name,Currency.Code
SSD,1597.0909110326097,1119.651331823138,4035.447330156954,South Sudanese Pound,SSP
BMU,50669.314769699624,85748.06541437824,85748.06541437824,Bermudian Dollar,BMD
ERI,2102.9540598034737,811.3760286021079,12474.90643975741,Nakfa,ERN
AND,NA,42029.76273729893,35607.614991039656,Euro,EUR
ASM,NA,11466.690705850537,11466.690705850537,US Dollar,USD
CUB,NA,8821.818891250045,8821.818891250045,Peso Convertible,CUC
CUB,NA,8821.818891250045,8821.818891250045,Cuban Peso,CUP
DJI,NA,3082.543098719573,547829.5595044425,Djibouti Franc,DJF
GUM,NA,35712.562135032094,35712.562135032094,US Dollar,USD
MCO,NA,185741.27999158684,157360.01240887234,Euro,EUR
MNP,NA,23258.67585527935,23258.67585527935,US Dollar,USD
SOM,NA,314.5441656707632,7534648.954427106,Somali Shilling,SOS
IMN,NA,80989.17221145023,62928.58680829684,Pound Sterling,GBP
VIR,NA,35938.02438751538,35938.02438751538,US Dollar,USD
FRO,NA,55822.914720343775,387080.75562268525,Danish Krone,DKK
GRL,NA,48181.87418806396,343950.0223114681,Danish Krone,DKK
LIE,NA,165028.24502918668,162618.83265176057,Swiss Franc,CHF
CHI,NA,74462.64674679204,37216.43084404666,NA,NA
SYR,NA,2032.6234893270127,101509.21705699102,Syrian Pound,SYP
NCL,NA,12579.595105586448,1628302.8211790086,CFP Franc,XPF
PYF,NA,14323.820820245042,1854075.4019427802,CFP Franc,XPF
